Date,Open,High,Low,Close,Current - Previous Close,Adj Close,Volume,Difference
2011-07-18,18.567362,18.662239,18.50095,18.633776,,12.477077,36651480,-0.06641400000000175
2011-07-19,18.643265,19.003796,18.614801,18.918406,0.28462999999999994,12.667668,36521627,-0.2751410000000014
2011-07-20,18.899431,18.975332,18.757116,18.880455,-0.037950999999999624,12.642256,37286409,0.01897599999999855
2011-07-21,18.984819,19.165085,18.956356,19.07021,0.18975499999999812,12.769313,46844292,-0.08539099999999777
2011-07-22,19.06072,19.136621,18.946869,19.041746,-0.0284639999999996,12.750255,27217020,0.018974000000000046
2011-07-25,18.861481,18.965843,18.795067,18.795067,-0.24667900000000031,12.585078,33176020,0.06641400000000175
2011-07-26,18.833017,18.880455,18.567362,18.624289,-0.17077799999999854,12.470728,40813410,0.2087280000000007
2011-07-27,18.529411,18.614801,18.273245,18.311195,-0.31309399999999954,12.26108,42527424,0.2182159999999982
2011-07-28,18.263758,18.614801,18.263758,18.36812,0.05692499999999967,12.2992,62017992,-0.10436200000000184
2011-07-29,18.225805,18.491461,18.074003,18.263758,-0.10436200000000184,12.22932,73232131,-0.03795299999999813
2011-08-01,18.444023,18.462997,17.789373,18.036053,-0.22770500000000027,12.076848,57838250,0.4079700000000024
2011-08-02,17.979128,17.998102,17.210627,17.210627,-0.8254260000000002,11.524149,109434290,0.7685010000000005
2011-08-03,17.096773,17.239088,16.840607,17.106262,-0.10436499999999782,11.581962,68569024,-0.009489000000002079
2011-08-04,16.86907,17.039848,16.451612,16.470589,-0.6356730000000006,11.151574,80391004,0.3984810000000003
2011-08-05,16.603416,16.812143,16.157495,16.593927,0.12333800000000039,11.235077,91111554,0.009488999999998526
2011-08-08,16.233397,16.736242,15.806452,15.806452,-0.7874750000000006,10.70191,127628017,0.4269449999999999
2011-08-09,16.148008,16.717268,15.777989,16.698292,0.8918399999999984,11.305738,122761488,-0.5502839999999978
2011-08-10,16.755219,17.077799,16.129032,16.176472,-0.5218199999999982,10.952435,107214672,0.5787469999999999
2011-08-11,16.318787,17.087288,16.176472,16.897533,0.7210609999999988,11.440637,87320738,-0.5787459999999989
2011-08-12,17.001898,17.172676,16.850096,16.944971,0.04743799999999965,11.472755,60513513,0.056927000000001726
2011-08-15,17.248577,17.447819,17.077799,17.400379,0.45540800000000203,11.781095,53775502,-0.151802
2011-08-16,17.314991,17.495256,17.144213,17.371918,-0.02846100000000007,11.761821,45084955,-0.056927000000001726
2011-08-17,17.47628,17.647058,17.409866,17.542694,0.17077600000000004,11.877447,47358750,-0.06641400000000175
2011-08-18,17.19165,17.248577,16.641365,16.802656,-0.740038000000002,11.376399,77886489,0.3889940000000003
2011-08-19,16.603416,17.049335,16.603416,16.764706,-0.037949999999998596,11.350707,59438222,-0.16129000000000104
2011-08-22,17.058825,17.239088,16.717268,16.774195,0.009488999999998526,11.357129,43110813,0.28462999999999994
2011-08-23,16.963947,17.362429,16.764706,17.305504,0.5313090000000003,11.716857,55309599,-0.3415569999999981
2011-08-24,17.305504,17.47628,17.19165,17.447819,0.14231499999999997,11.813216,43926926,-0.14231499999999997
2011-08-25,17.267551,17.352942,16.944971,17.039848,-0.40797099999999986,11.536995,54207009,0.22770300000000177
