Date,Open,High,Low,Close,Adj Close,Volume
2011-07-18,18.567362,18.662239,18.500950,18.633776,12.477077,36651480
2011-07-19,18.643265,19.003796,18.614801,18.918406,12.667668,36521627
2011-07-20,18.899431,18.975332,18.757116,18.880455,12.642256,37286409
2011-07-21,18.984819,19.165085,18.956356,19.070210,12.769313,46844292
2011-07-22,19.060720,19.136621,18.946869,19.041746,12.750255,27217020
2011-07-25,18.861481,18.965843,18.795067,18.795067,12.585078,33176020
2011-07-26,18.833017,18.880455,18.567362,18.624289,12.470728,40813410
2011-07-27,18.529411,18.614801,18.273245,18.311195,12.261080,42527424
2011-07-28,18.263758,18.614801,18.263758,18.368120,12.299200,62017992
2011-07-29,18.225805,18.491461,18.074003,18.263758,12.229320,73232131
2011-08-01,18.444023,18.462997,17.789373,18.036053,12.076848,57838250
2011-08-02,17.979128,17.998102,17.210627,17.210627,11.524149,109434290
2011-08-03,17.096773,17.239088,16.840607,17.106262,11.581962,68569024
2011-08-04,16.869070,17.039848,16.451612,16.470589,11.151574,80391004
2011-08-05,16.603416,16.812143,16.157495,16.593927,11.235077,91111554
2011-08-08,16.233397,16.736242,15.806452,15.806452,10.701910,127628017
2011-08-09,16.148008,16.717268,15.777989,16.698292,11.305738,122761488
2011-08-10,16.755219,17.077799,16.129032,16.176472,10.952435,107214672
2011-08-11,16.318787,17.087288,16.176472,16.897533,11.440637,87320738
2011-08-12,17.001898,17.172676,16.850096,16.944971,11.472755,60513513
2011-08-15,17.248577,17.447819,17.077799,17.400379,11.781095,53775502
2011-08-16,17.314991,17.495256,17.144213,17.371918,11.761821,45084955
2011-08-17,17.476280,17.647058,17.409866,17.542694,11.877447,47358750
2011-08-18,17.191650,17.248577,16.641365,16.802656,11.376399,77886489
2011-08-19,16.603416,17.049335,16.603416,16.764706,11.350707,59438222
2011-08-22,17.058825,17.239088,16.717268,16.774195,11.357129,43110813
2011-08-23,16.963947,17.362429,16.764706,17.305504,11.716857,55309599
2011-08-24,17.305504,17.476280,17.191650,17.447819,11.813216,43926926
2011-08-25,17.267551,17.352942,16.944971,17.039848,11.536995,54207009
2011-08-26,16.916510,17.381405,16.612904,17.277040,11.697587,48578438
2011-08-29,17.798861,17.979128,17.656546,17.912712,12.127973,49397186
2011-08-30,17.827324,18.017078,17.590134,17.912712,12.127973,46515760
2011-08-31,18.007589,18.149904,17.808350,18.007589,12.192215,46743951
2011-09-01,17.941175,18.168880,17.893738,17.941175,12.147247,41855921
2011-09-02,17.666035,17.969639,17.485769,17.514231,11.858183,36949129
2011-09-06,17.296015,17.760912,17.172676,17.694496,11.980229,51370274
2011-09-07,18.017078,18.055029,17.846300,18.036053,12.211480,50899030
2011-09-08,17.912712,18.149904,17.779886,17.855787,12.089436,39405793
2011-09-09,17.628082,17.666035,17.201139,17.343454,11.742553,59936764
2011-09-12,16.954458,17.343454,16.944971,17.314991,11.723282,55402351
2011-09-13,17.343454,17.457306,17.191650,17.390892,11.774673,33751610
2011-09-14,17.239088,17.656546,17.087288,17.466793,11.826063,50831153
2011-09-15,17.542694,17.571157,17.314991,17.542694,11.877447,46744162
2011-09-16,17.647058,17.685009,17.220114,17.220114,11.659041,80837057
2011-09-19,17.020872,17.201139,16.907021,17.134726,11.601229,49123567
2011-09-20,17.229603,17.428843,17.049335,17.305504,11.716857,54898117
2011-09-21,17.163189,17.324478,16.897533,16.925997,11.459906,56566599
2011-09-22,16.669828,16.802656,16.413662,16.593927,11.235077,65817346
2011-09-23,16.518026,16.793169,16.461102,16.555977,11.209385,52643189
2011-09-26,16.508539,16.878557,16.423149,16.859583,11.414944,40941998
2011-09-27,17.087288,17.163189,16.755219,16.840607,11.402095,46890984
2011-09-28,16.850096,17.039848,16.641365,16.660341,11.280044,34680921
2011-09-29,16.878557,17.182163,16.774195,17.058825,11.549843,59446443
2011-09-30,16.850096,17.125237,16.755219,16.774195,11.357129,47745989
2011-10-03,16.783682,16.963947,16.413662,16.442125,11.132297,71437696
2011-10-04,16.328274,16.688805,16.176472,16.688805,11.299316,62512213
2011-10-05,16.641365,17.096773,16.499050,17.058825,11.549843,78504660
2011-10-06,17.087288,17.314991,16.973434,17.296015,11.710432,53418512
2011-10-07,17.419355,17.760912,17.352942,17.495256,11.845333,51991396
2011-10-10,17.770397,17.950665,17.760912,17.950665,12.153670,33288587
2011-10-11,17.836811,17.931688,17.675522,17.884251,12.108704,37339953
2011-10-12,17.922201,18.102467,17.836811,17.855787,12.089436,40613150
2011-10-13,17.760912,17.893738,17.628082,17.798861,12.050889,32216459
2011-10-14,18.026566,18.083490,17.884251,18.064516,12.230753,33340866
2011-10-17,17.969639,18.168880,17.685009,17.732449,12.005921,32103259
2011-10-18,17.656546,18.149904,17.599621,17.998102,12.185786,37947584
2011-10-19,17.998102,18.074003,17.751423,17.846300,12.083008,32436955
2011-10-20,17.817837,17.979128,17.571157,17.770397,12.031617,44288448
2011-10-21,17.931688,18.216318,17.931688,18.083490,12.243602,49238980
2011-10-24,17.988615,18.406073,17.969639,18.368120,12.436314,37826584
2011-10-25,18.244781,18.339659,17.855787,17.903227,12.121554,45835930
2011-10-26,18.064516,18.330172,17.922201,18.292219,12.384918,38707412
2011-10-27,18.624289,18.927895,18.519924,18.823528,12.744653,54234308
2011-10-28,18.851992,18.899431,18.576851,18.804554,12.731805,38388577
2011-10-31,18.576851,18.738140,18.273245,18.273245,12.372077,42690267
2011-11-01,18.168880,18.738140,17.998102,18.339659,12.417043,78703023
2011-11-02,18.614801,18.681213,18.406073,18.529411,12.545513,40007205
2011-11-03,18.681213,18.918406,18.576851,18.861481,12.770348,71927173
2011-11-04,18.738140,18.851992,18.529411,18.652752,12.629024,53618350
2011-11-07,18.586338,19.089184,18.548388,19.041746,12.892397,152124031
2011-11-08,18.975332,19.070210,18.757116,19.051233,13.028654,42270459
2011-11-09,18.576851,18.747627,18.282732,18.349146,12.548515,48256231
2011-11-10,18.472486,18.956356,18.472486,18.776091,12.840496,46477395
2011-11-11,18.908918,19.117647,18.889942,18.965843,12.970257,39780911
2011-11-14,18.614801,18.889942,18.576851,18.776091,12.840496,53173878
2011-11-15,18.766603,18.975332,18.709677,18.851992,12.892397,33528583
2011-11-16,18.643265,18.918406,18.529411,18.567362,12.697750,37305065
2011-11-17,18.567362,18.662239,18.273245,18.472486,12.632866,44102838
2011-11-18,18.500950,18.624289,18.415560,18.529411,12.671790,40872750
2011-11-21,18.216318,18.387096,17.960152,17.988615,12.301958,57132702
